,Unnamed: 0,Invoice ID,Name,Order Date,State,City,Categories,Subcategories,Ratings,Quantity,MRP,Final Price,GST%%,City_Tier,Discount%,Delivery Fee%,Brand,Sale,Covid
0,0,OD103719706054443200,G3M1R1,23-08-2015 00:00,Delhi,New Delhi,Home & Kitchen,Kitchen Appliances,4.1,1,1370.33,1545,18%,Tier_1,0,13,Nova,No,No
1,1,OD106420064045076000,G3M1R1,07-01-2016 00:00,Delhi,New Delhi,Health & Personal Care Appliances,Health Care,4.3,1,1164.76,1260,5%,Tier_1,0,9,Omron,No,No
2,2,OD106420064045076001,G3M1R1,07-01-2016 00:00,Delhi,New Delhi,Clothing and Accessories,Books,4.5,1,596.67,730,5%,Tier_1,0,23,Johnson,No,No
3,3,OD109711988579254000,G3M1R2,17-07-2017 00:00,Delhi,New Delhi,Exercise & Fitness,Fitness Accessories,4.3,1,199,199,18%,Tier_1,0,0,HAANS,No,No
4,4,OD109711988579254000,G3M1R2,18-07-2017 00:00,Delhi,New Delhi,Health Care,Health Supplements,4.1,1,4162,4162,28%,Tier_1,0,0,Muscletech,No,No
5,5,OD110363877142631000,G3M1R3,30-09-2017 00:00,Delhi,New Delhi,Home Decor,Wall Decor Items,3.5,1,209,209,12%,Tier_1,0,0,Bexton,No,No
6,6,OD110510509516810000,G3M1R3,17-10-2017 00:00,Delhi,New Delhi,Exercise & Fitness,Yoga,4.7,1,696,626,28%,Tier_1,11,0,Proline,No,No
7,7,OD111300821397536000,G3M1R2,17-01-2018 00:00,Delhi,New Delhi,Pens & Stationery,Pens & Stationery,4.4,2,270,270,12%,Tier_1,0,0,Pilot,No,No
8,8,OD113599228081604000,G3M1R2,13-10-2018 00:00,Delhi,New Delhi,Home Entertainment,Televisions,4.4,1,20999,20999,28%,Tier_1,0,0,Mi,No,No
9,9,OD115235130186750000,G3M1R2,17-04-2019 00:00,Delhi,New Delhi,Mobiles & Accessories,Mobiles,3.7,1,20999,20999,12%,Tier_1,0,0,POCO,Yes,No
10,10,OD116655289030474000,G3M1R1,29-09-2019 00:00,Delhi,New Delhi,Clothing and Accessories,Topwear,4.2,1,499,499,5%,Tier_1,0,0,Sassafras,No,No
11,11,OD117224497390037000,G3M1R1,12-03-2019 00:00,Delhi,New Delhi,Clothing and Accessories,Topwear,4.2,1,376,376,0%,Tier_1,0,0,Ap'pulse,Yes,No
12,12,OD117342814747169000,G3M1R2,17-12-2019 00:00,Delhi,New Delhi,Audio & Video,Headphones,4.3,1,3999,3999,18%,Tier_1,0,0,Realme,No,No
13,13,OD117436954229110000,G3M1R4,28-12-2019 00:00,Karnataka,Bengaluru,Food Products,Food Products,4.4,25,2879.78,2248.78,5%,Tier_1,22,0,HOUSEHOLD,No,No
14,14,OD117698992229130000,G3M1R4,27-01-2020 00:00,Karnataka,Bengaluru,Food Products,Food Products,4.4,22,1670,1288,5%,Tier_1,23,0,HOUSEHOLD,No,No
15,15,OD118951354305143000,G3M1R1,20-06-2020 00:00,Delhi,New Delhi,Home Furnishing,Cushions & Pillows,3.5,1,359,341,18%,Tier_1,6,0,Recron,No,1st Wave
16,16,OD119655556725610000,G3M1R5,09-10-2020 00:00,Delhi,New Delhi,Mobiles & Accessories,Mobile Accessories,4.3,1,149,189,28%,Tier_1,0,27,Mitzvah,No,1st Wave
17,17,OD119673972444216000,G3M1R6,09-12-2020 00:00,West Bengal,Ranghbaghi,Books,Books,4.5,1,247,247,0%,Tier 3,0,0,Books,No,No
18,18,OD119738522633432000,G3M1R5,20-09-2020 00:00,Delhi,New Delhi,Audio & Video,Headphones,3.9,1,325,350,18%,Tier_1,5,13,hilips,Yes,1st Wave
19,19,OD120136831585343000,G3M1R6,11-05-2020 00:00,West Bengal,Ranghbaghi,Mobiles & Accessories,Mobiles,4.4,1,12999,12999,18%,Tier 3,0,0,POCO,No,1st Wave
20,20,OD120335361868638000,G3M1R6,27-11-2020 00:00,West Bengal,Ranghbaghi,Mobiles & Accessories,Mobile Accessories,4.1,1,119,167,28%,Tier 3,0,41,CHVTS,No,No
21,21,OD120410860354442000,G3M1R6,12-06-2020 00:00,West Bengal,Bidhan Nagar,Toys and Games,Soft Toys,4.2,1,699,699,12%,Tier 3,0,0,FamilyStore,No,1st Wave
22,22, OD120558265400507000,G3M1R4,23-12-2020 00:00,Karnataka,Bengaluru,Furniture,Chairs,4.4,1,14578,14578,18%,Tier_1,0,0,Featherlite,No,No
23,23,OD121117394968508000,G3M1R4,26-02-2021 00:00,Karnataka,Bengaluru,Books,Books,4.6,1,699,704,0%,Tier_1,4,5,Human,No,No
24,24,OD121276403113883000,G3M1R7,16-03-2021 00:00,Haryana,Gurugram,Clothing and Accessories,"Kurtas, Ethnic Sets and Bottoms",3.1,1,1499,1499,12%,Tier_2,0,0,7TH,No,No
25,25,OD121317919935084000,G3M1R7,21-03-2021 00:00,Haryana,Gurugram,Clothing and Accessories,Dresses and Gowns,4,1,731,761,5%,Tier_2,0,5,Shree,No,2nd Wave
26,26,OD121487298189347000,G3M1R7,04-10-2021 00:00,Haryana,Gurugram,Clothing and Accessories,"Kurtas, Ethnic Sets and Bottoms",3.7,1,799,844,5%,Tier_2,0,6,RAGHUADS,No,No
27,27,OD121576923047407000,G3M1R7,20-04-2021 00:00,Haryana,Gurugram,Home Furnishing,Bed Linen & Blankets,3.5,1,369,369,5%,Tier_2,0,0,Luxury,No,2nd Wave
28,28,OD121582192598244000,G3M1R7,21-04-2021 00:00,Haryana,Gurugram,Clothing and Accessories,"Kurtas, Ethnic Sets and Bottoms",4.3,1,479,479,5%,Tier_2,0,0,Skc,No,2nd Wave
29,29,OD121644973790674000,G3M1R7,28-04-2021 00:00,Haryana,Gurugram,Beauty and Grooming,Hair Care and Accessory,4.1,1,449,511,18%,Tier_2,0,14,MamaEarth,No,2nd Wave
30,30,OD121644973790674000,G3M1R7,28-04-2021 00:00,West Bengal,Ranghbaghi,Beauty and Grooming,Hair Care and Accessory,4.1,1,449,511,18%,Tier 3,0,14,MamaEarth,No,2nd Wave
31,31,OD121656434350788000,G3M1R4,29-04-2021 00:00,Karnataka,Bengaluru,Furniture,Tables,4.7,1,4299,4299,18%,Tier_1,0,0,InnoFur,No,2nd Wave
32,32,OD121669935248437000,G3M1R4,05-01-2021 00:00,Karnataka,Bengaluru,Food Products,Food Products,4.4,16,1582,1380,5%,Tier_1,13,0,HOUSEHOLD,No,No
33,33,OD121759907465155000,G3M1R4,05-11-2020 00:00,Karnataka,Bengaluru,Food Products,"Dry Fruit, Nut & Seed",4.3,1,429,397,0%,Tier_1,8,0,Happilo,No,No
34,34,OD121773991222602000,G3M1R3,13-05-2021 00:00,Delhi,New Delhi,"Kitchen, Cookware & Serveware",Cookware,3.8,1,355,395,12%,Tier_1,0,12,Expressionss,No,2nd Wave
35,35,OD121774030011481000,G3M1R3,13-05-2021 00:00,Delhi,New Delhi,Audio & Video,Headphones,4.3,1,379,379,18%,Tier_1,0,0,boAt,No,2nd Wave
36,36,OD121798994913779000,G3M1R7,16-05-2021 00:00,Haryana,Gurugram,"Kitchen, Cookware & Serveware","Knives, Choppers & Cutters",4.2,1,451,1,0%,Tier_2,100,0,Ganesh,No,2nd Wave
37,37,OD121850888257304000,G3M1R6,22-05-2021 00:00,West Bengal,Ranghbaghi,Beauty and Grooming,Body & Face Skin Care,4.5,1,149,149,18%,Tier 3,0,0,Garnier,No,2nd Wave
38,38,OD121850888257304000,G3M1R6,22-05-2021 00:00,West Bengal,Ranghbaghi,Beauty and Grooming,Body & Face Skin Care,4.4,1,203,192,18%,Tier 3,6,0,HIMALAYA,No,2nd Wave
39,39,OD121890315111717000,G3M1R3,26-05-2021 00:00,Delhi,New Delhi,"Kitchen, Cookware & Serveware",Cookware,4.2,1,399,399,12%,Tier_1,0,0,Trandx,No,2nd Wave
40,40,OD121907167346845000,G3M1R6,28-05-2021 00:00,West Bengal,Ranghbaghi,Audio & Video,Headphones,3.6,1,1399,1399,18%,Tier 3,0,0,boAt,No,2nd Wave
